% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.301	1	1	31	2	1	28	2196	0	0	0
0.301	2	2	31	2	1	28	2196	0	0	0
0.312	1	1	32	3	1	28	2196	0	0	0
0.312	2	2	32	3	1	28	2196	0	0	0
0.401	1	1	41	2	1	28	2196	0	0	0
0.401	2	2	41	2	1	28	2196	0	0	0
0.412	1	1	42	3	1	28	2196	0	0	0
0.412	2	2	42	3	1	28	2196	0	0	0
0.501	1	1	51	2	1	28	2196	0	0	0
0.501	2	2	51	2	1	28	2196	0	0	0
0.512	1	1	52	3	1	28	2196	0	0	0
0.512	2	2	52	3	1	28	2196	0	0	0
0.601	1	1	61	2	1	28	2196	0	0	0
0.601	2	2	61	2	1	28	2196	0	0	0
0.612	1	1	62	3	1	28	2196	0	0	0
0.612	2	2	62	3	1	28	2196	0	0	0
0.701	1	1	71	2	1	28	2196	0	0	0
0.701	2	2	71	2	1	28	2196	0	0	0
0.712	1	1	72	3	1	28	2196	0	0	0
0.712	2	2	72	3	1	28	2196	0	0	0
0.801	1	1	81	2	1	28	2196	0	0	0
0.801	2	2	81	2	1	28	2196	0	0	0
0.812	1	1	82	3	1	28	2196	0	0	0
0.812	2	2	82	3	1	28	2196	0	0	0
0.901	1	1	91	2	1	28	2196	0	0	0
0.901	2	2	91	2	1	28	2196	0	0	0
0.912	1	1	92	3	1	28	2196	0	0	0
0.912	2	2	92	3	1	28	2196	0	0	0
1.001	1	1	101	2	1	28	2196	0	0	0
1.001	2	2	101	2	1	28	2196	0	0	0
1.012	1	1	102	3	1	28	2196	0	0	0
1.012	2	2	102	3	1	28	2196	0	0	0
1.101	1	1	111	2	1	28	2196	0	0	0
1.101	2	2	111	2	1	28	2196	0	0	0
1.112	1	1	112	3	1	28	2196	0	0	0
1.112	2	2	112	3	1	28	2196	0	0	0
1.201	1	1	121	2	1	28	2196	0	0	0
1.201	2	2	121	2	1	28	2196	0	0	0
1.212	1	1	122	3	1	28	2196	0	0	0
1.212	2	2	122	3	1	28	2196	0	0	0
1.301	1	1	131	2	1	28	2196	0	0	0
1.301	2	2	131	2	1	28	2196	0	0	0
1.312	1	1	132	3	1	28	2196	0	0	0
1.312	2	2	132	3	1	28	2196	0	0	0
1.401	1	1	141	2	1	28	2196	0	0	0
1.401	2	2	141	2	1	28	2196	0	0	0
1.412	1	1	142	3	1	28	2196	0	0	0
1.412	2	2	142	3	1	28	2196	0	0	0
1.501	1	1	151	2	1	28	2196	0	0	0
1.501	2	2	151	2	1	28	2196	0	0	0
1.512	1	1	152	3	1	28	2196	0	0	0
1.512	2	2	152	3	1	28	2196	0	0	0
1.601	1	1	161	2	1	28	2196	0	0	0
1.601	2	2	161	2	1	28	2196	0	0	0
1.612	1	1	162	3	1	28	2196	0	0	0
1.612	2	2	162	3	1	28	2196	0	0	0
1.701	1	1	171	2	1	28	2196	0	0	0
1.701	2	2	171	2	1	28	2196	0	0	0
1.712	1	1	172	3	1	28	2196	0	0	0
1.712	2	2	172	3	1	28	2196	0	0	0
1.801	1	1	181	2	1	28	2196	0	0	0
1.801	2	2	181	2	1	28	2196	0	0	0
1.812	1	1	182	3	1	28	2196	0	0	0
1.812	2	2	182	3	1	28	2196	0	0	0
1.901	1	1	191	2	1	28	2196	0	0	0
1.901	2	2	191	2	1	28	2196	0	0	0
1.912	1	1	192	3	1	28	2196	0	0	0
1.912	2	2	192	3	1	28	2196	0	0	0
2.001	1	1	201	2	1	28	2196	0	0	0
2.001	2	2	201	2	1	28	2196	0	0	0
2.012	1	1	202	3	1	28	2196	0	0	0
2.012	2	2	202	3	1	28	2196	0	0	0
2.101	1	1	211	2	1	28	2196	0	0	0
2.101	2	2	211	2	1	28	2196	0	0	0
2.112	1	1	212	3	1	28	2196	0	0	0
2.112	2	2	212	3	1	28	2196	0	0	0
2.201	1	1	221	2	1	28	2196	0	0	0
2.201	2	2	221	2	1	28	2196	0	0	0
2.212	1	1	222	3	1	28	2196	0	0	0
2.212	2	2	222	3	1	28	2196	0	0	0
2.301	1	1	231	2	1	28	2196	0	0	0
2.301	2	2	231	2	1	28	2196	0	0	0
2.312	1	1	232	3	1	28	2196	0	0	0
2.312	2	2	232	3	1	28	2196	0	0	0
2.401	1	1	241	2	1	28	2196	0	0	0
2.401	2	2	241	2	1	28	2196	0	0	0
2.412	1	1	242	3	1	28	2196	0	0	0
2.412	2	2	242	3	1	28	2196	0	0	0
2.501	1	1	251	2	1	28	2196	0	0	0
2.501	2	2	251	2	1	28	2196	0	0	0
2.512	1	1	252	3	1	28	2196	0	0	0
