% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
303	1	1	1	0	0	28	2196	0	1	1	0
303	2	2	1	0	0	28	2196	0	1	1	0
314	1	1	1	0	0	28	2196	0	1	1	0
314	2	2	1	0	0	28	2196	0	1	1	0
403	1	1	1	0	0	28	2196	0	1	1	0
403	2	2	1	0	0	28	2196	0	1	1	0
414	1	1	1	0	0	28	2196	0	1	1	0
414	2	2	1	0	0	28	2196	0	1	1	0
503	1	1	1	0	0	28	2196	0	1	1	0
503	2	2	1	0	0	28	2196	0	1	1	0
514	1	1	1	0	0	28	2196	0	1	1	0
514	2	2	1	0	0	28	2196	0	1	1	0
603	1	1	1	0	0	28	2196	0	1	1	0
603	2	2	1	0	0	28	2196	0	1	1	0
614	1	1	1	0	0	28	2196	0	1	1	0
614	2	2	1	0	0	28	2196	0	1	1	0
703	1	1	1	0	0	28	2196	0	1	1	0
703	2	2	1	0	0	28	2196	0	1	1	0
714	1	1	1	0	0	28	2196	0	1	1	0
714	2	2	1	0	0	28	2196	0	1	1	0
803	1	1	1	0	0	28	2196	0	1	1	0
803	2	2	1	0	0	28	2196	0	1	1	0
814	1	1	1	0	0	28	2196	0	1	1	0
814	2	2	1	0	0	28	2196	0	1	1	0
903	1	1	1	0	0	28	2196	0	1	1	0
903	2	2	1	0	0	28	2196	0	1	1	0
914	1	1	1	0	0	28	2196	0	1	1	0
914	2	2	1	0	0	28	2196	0	1	1	0
1003	1	1	1	0	0	28	2196	0	1	1	0
1003	2	2	1	0	0	28	2196	0	1	1	0
1014	1	1	1	0	0	28	2196	0	1	1	0
1014	2	2	1	0	0	28	2196	0	1	1	0
1103	1	1	1	0	0	28	2196	0	1	1	0
1103	2	2	1	0	0	28	2196	0	1	1	0
1114	1	1	1	0	0	28	2196	0	1	1	0
1114	2	2	1	0	0	28	2196	0	1	1	0
1203	1	1	1	0	0	28	2196	0	1	1	0
1203	2	2	1	0	0	28	2196	0	1	1	0
1214	1	1	1	0	0	28	2196	0	1	1	0
1214	2	2	1	0	0	28	2196	0	1	1	0
1303	1	1	1	0	0	28	2196	0	1	1	0
1303	2	2	1	0	0	28	2196	0	1	1	0
1314	1	1	1	0	0	28	2196	0	1	1	0
1314	2	2	1	0	0	28	2196	0	1	1	0
1403	1	1	1	0	0	28	2196	0	1	1	0
1403	2	2	1	0	0	28	2196	0	1	1	0
1414	1	1	1	0	0	28	2196	0	1	1	0
1414	2	2	1	0	0	28	2196	0	1	1	0
1503	1	1	1	0	0	28	2196	0	1	1	0
1503	2	2	1	0	0	28	2196	0	1	1	0
1514	1	1	1	0	0	28	2196	0	1	1	0
1514	2	2	1	0	0	28	2196	0	1	1	0
1603	1	1	1	0	0	28	2196	0	1	1	0
1603	2	2	1	0	0	28	2196	0	1	1	0
1614	1	1	1	0	0	28	2196	0	1	1	0
1614	2	2	1	0	0	28	2196	0	1	1	0
1703	1	1	1	0	0	28	2196	0	1	1	0
1703	2	2	1	0	0	28	2196	0	1	1	0
1714	1	1	1	0	0	28	2196	0	1	1	0
1714	2	2	1	0	0	28	2196	0	1	1	0
1803	1	1	1	0	0	28	2196	0	1	1	0
1803	2	2	1	0	0	28	2196	0	1	1	0
1814	1	1	1	0	0	28	2196	0	1	1	0
1814	2	2	1	0	0	28	2196	0	1	1	0
1903	1	1	1	0	0	28	2196	0	1	1	0
1903	2	2	1	0	0	28	2196	0	1	1	0
1914	1	1	1	0	0	28	2196	0	1	1	0
1914	2	2	1	0	0	28	2196	0	1	1	0
2003	1	1	1	0	0	28	2196	0	1	1	0
2003	2	2	1	0	0	28	2196	0	1	1	0
2014	1	1	1	0	0	28	2196	0	1	1	0
2014	2	2	1	0	0	28	2196	0	1	1	0
2103	1	1	1	0	0	28	2196	0	1	1	0
2103	2	2	1	0	0	28	2196	0	1	1	0
2114	1	1	1	0	0	28	2196	0	1	1	0
2114	2	2	1	0	0	28	2196	0	1	1	0
2203	1	1	1	0	0	28	2196	0	1	1	0
2203	2	2	1	0	0	28	2196	0	1	1	0
2214	1	1	1	0	0	28	2196	0	1	1	0
2214	2	2	1	0	0	28	2196	0	1	1	0
2303	1	1	1	0	0	28	2196	0	1	1	0
2303	2	2	1	0	0	28	2196	0	1	1	0
2314	1	1	1	0	0	28	2196	0	1	1	0
2314	2	2	1	0	0	28	2196	0	1	1	0
2403	1	1	1	0	0	28	2196	0	1	1	0
2403	2	2	1	0	0	28	2196	0	1	1	0
2414	1	1	1	0	0	28	2196	0	1	1	0
2414	2	2	1	0	0	28	2196	0	1	1	0
2503	1	1	1	0	0	28	2196	0	1	1	0
2503	2	2	1	0	0	28	2196	0	1	1	0
2514	1	1	1	0	0	28	2196	0	1	1	0
2514	2	2	1	0	0	28	2196	0	1	1	0
2603	1	1	1	0	0	28	2196	0	1	1	0
2603	2	2	1	0	0	28	2196	0	1	1	0
2614	1	1	1	0	0	28	2196	0	1	1	0
2614	2	2	1	0	0	28	2196	0	1	1	0
2703	1	1	1	0	0	28	2196	0	1	1	0
2703	2	2	1	0	0	28	2196	0	1	1	0
2714	1	1	1	0	0	28	2196	0	1	1	0
2714	2	2	1	0	0	28	2196	0	1	1	0
2803	1	1	1	0	0	28	2196	0	1	1	0
2803	2	2	1	0	0	28	2196	0	1	1	0
2814	1	1	1	0	0	28	2196	0	1	1	0
2814	2	2	1	0	0	28	2196	0	1	1	0
2903	1	1	1	0	0	28	2196	0	1	1	0
2903	2	2	1	0	0	28	2196	0	1	1	0
2914	1	1	1	0	0	28	2196	0	1	1	0
2914	2	2	1	0	0	28	2196	0	1	1	0
3003	1	1	1	0	0	28	2196	0	1	1	0
3003	2	2	1	0	0	28	2196	0	1	1	0
3014	1	1	1	0	0	28	2196	0	1	1	0
3014	2	2	1	0	0	28	2196	0	1	1	0
3103	1	1	1	0	0	28	2196	0	1	1	0
3103	2	2	1	0	0	28	2196	0	1	1	0
3114	1	1	1	0	0	28	2196	0	1	1	0
3114	2	2	1	0	0	28	2196	0	1	1	0
3203	1	1	1	0	0	28	2196	0	1	1	0
3203	2	2	1	0	0	28	2196	0	1	1	0
3214	1	1	1	0	0	28	2196	0	1	1	0
3214	2	2	1	0	0	28	2196	0	1	1	0
3303	1	1	1	0	0	28	2196	0	1	1	0
3303	2	2	1	0	0	28	2196	0	1	1	0
3314	1	1	1	0	0	28	2196	0	1	1	0
3314	2	2	1	0	0	28	2196	0	1	1	0
3403	1	1	1	0	0	28	2196	0	1	1	0
3403	2	2	1	0	0	28	2196	0	1	1	0
3414	1	1	1	0	0	28	2196	0	1	1	0
3414	2	2	1	0	0	28	2196	0	1	1	0
3503	1	1	1	0	0	28	2196	0	1	1	0
3503	2	2	1	0	0	28	2196	0	1	1	0
3514	1	1	1	0	0	28	2196	0	1	1	0
3514	2	2	1	0	0	28	2196	0	1	1	0
3603	1	1	1	0	0	28	2196	0	1	1	0
3603	2	2	1	0	0	28	2196	0	1	1	0
3614	1	1	1	0	0	28	2196	0	1	1	0
3614	2	2	1	0	0	28	2196	0	1	1	0
3703	1	1	1	0	0	28	2196	0	1	1	0
3703	2	2	1	0	0	28	2196	0	1	1	0
3714	1	1	1	0	0	28	2196	0	1	1	0
3714	2	2	1	0	0	28	2196	0	1	1	0
3803	1	1	1	0	0	28	2196	0	1	1	0
3803	2	2	1	0	0	28	2196	0	1	1	0
3814	1	1	1	0	0	28	2196	0	1	1	0
3814	2	2	1	0	0	28	2196	0	1	1	0
3903	1	1	1	0	0	28	2196	0	1	1	0
3903	2	2	1	0	0	28	2196	0	1	1	0
3914	1	1	1	0	0	28	2196	0	1	1	0
3914	2	2	1	0	0	28	2196	0	1	1	0
4003	1	1	1	0	0	28	2196	0	1	1	0
4003	2	2	1	0	0	28	2196	0	1	1	0
4014	1	1	1	0	0	28	2196	0	1	1	0
4014	2	2	1	0	0	28	2196	0	1	1	0
4103	1	1	1	0	0	28	2196	0	1	1	0
4103	2	2	1	0	0	28	2196	0	1	1	0
4114	1	1	1	0	0	28	2196	0	1	1	0
4114	2	2	1	0	0	28	2196	0	1	1	0
4203	1	1	1	0	0	28	2196	0	1	1	0
4203	2	2	1	0	0	28	2196	0	1	1	0
4214	1	1	1	0	0	28	2196	0	1	1	0
4214	2	2	1	0	0	28	2196	0	1	1	0
4303	1	1	1	0	0	28	2196	0	1	1	0
4303	2	2	1	0	0	28	2196	0	1	1	0
4314	1	1	1	0	0	28	2196	0	1	1	0
4314	2	2	1	0	0	28	2196	0	1	1	0
4403	1	1	1	0	0	28	2196	0	1	1	0
4403	2	2	1	0	0	28	2196	0	1	1	0
4414	1	1	1	0	0	28	2196	0	1	1	0
4414	2	2	1	0	0	28	2196	0	1	1	0
4503	1	1	1	0	0	28	2196	0	1	1	0
4503	2	2	1	0	0	28	2196	0	1	1	0
4514	1	1	1	0	0	28	2196	0	1	1	0
4514	2	2	1	0	0	28	2196	0	1	1	0
