% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.305	1	1	31	6	1	28	2292	0
0.305	2	2	31	6	1	28	2292	0
0.309	1	1	31	10	1	28	2292	0
0.309	2	2	31	10	1	28	2292	0
0.405	1	1	41	6	1	28	2292	0
0.405	2	2	41	6	1	28	2292	0
0.409	1	1	41	10	1	28	2292	0
0.409	2	2	41	10	1	28	2292	0
0.505	1	1	51	6	1	28	2292	0
0.505	2	2	51	6	1	28	2292	0
0.509	1	1	51	10	1	28	2292	0
0.509	2	2	51	10	1	28	2292	0
0.605	1	1	61	6	1	28	2292	0
0.605	2	2	61	6	1	28	2292	0
0.609	1	1	61	10	1	28	2292	0
0.609	2	2	61	10	1	28	2292	0
0.705	1	1	71	6	1	28	2292	0
0.705	2	2	71	6	1	28	2292	0
0.709	1	1	71	10	1	28	2292	0
0.709	2	2	71	10	1	28	2292	0
0.805	1	1	81	6	1	28	2292	0
0.805	2	2	81	6	1	28	2292	0
0.809	1	1	81	10	1	28	2292	0
0.809	2	2	81	10	1	28	2292	0
0.905	1	1	91	6	1	28	2292	0
0.905	2	2	91	6	1	28	2292	0
0.909	1	1	91	10	1	28	2292	0
0.909	2	2	91	10	1	28	2292	0
1.005	1	1	101	6	1	28	2292	0
1.005	2	2	101	6	1	28	2292	0
1.009	1	1	101	10	1	28	2292	0
1.009	2	2	101	10	1	28	2292	0
1.105	1	1	111	6	1	28	2292	0
1.105	2	2	111	6	1	28	2292	0
1.109	1	1	111	10	1	28	2292	0
1.109	2	2	111	10	1	28	2292	0
1.205	1	1	121	6	1	28	2292	0
1.205	2	2	121	6	1	28	2292	0
1.209	1	1	121	10	1	28	2292	0
1.209	2	2	121	10	1	28	2292	0
1.305	1	1	131	6	1	28	2292	0
1.305	2	2	131	6	1	28	2292	0
1.309	1	1	131	10	1	28	2292	0
1.309	2	2	131	10	1	28	2292	0
1.405	1	1	141	6	1	28	2292	0
1.405	2	2	141	6	1	28	2292	0
1.409	1	1	141	10	1	28	2292	0
1.409	2	2	141	10	1	28	2292	0
1.505	1	1	151	6	1	28	2292	0
1.505	2	2	151	6	1	28	2292	0
1.509	1	1	151	10	1	28	2292	0
1.509	2	2	151	10	1	28	2292	0
1.605	1	1	161	6	1	28	2292	0
1.605	2	2	161	6	1	28	2292	0
1.609	1	1	161	10	1	28	2292	0
1.609	2	2	161	10	1	28	2292	0
1.705	1	1	171	6	1	28	2292	0
1.705	2	2	171	6	1	28	2292	0
1.709	1	1	171	10	1	28	2292	0
1.709	2	2	171	10	1	28	2292	0
1.805	1	1	181	6	1	28	2292	0
1.805	2	2	181	6	1	28	2292	0
