% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
311	1	1	1	0	28	2292	0	1	0
311	2	2	1	0	28	2292	0	1	0
315	1	1	1	0	28	2292	0	1	0
315	2	2	1	0	28	2292	0	1	0
411	1	1	1	0	28	2292	0	1	0
411	2	2	1	0	28	2292	0	1	0
415	1	1	1	0	28	2292	0	1	0
415	2	2	1	0	28	2292	0	1	0
511	1	1	1	0	28	2292	0	1	0
511	2	2	1	0	28	2292	0	1	0
515	1	1	1	0	28	2292	0	1	0
515	2	2	1	0	28	2292	0	1	0
611	1	1	1	0	28	2292	0	1	0
611	2	2	1	0	28	2292	0	1	0
615	1	1	1	0	28	2292	0	1	0
615	2	2	1	0	28	2292	0	1	0
711	1	1	1	0	28	2292	0	1	0
711	2	2	1	0	28	2292	0	1	0
715	1	1	1	0	28	2292	0	1	0
715	2	2	1	0	28	2292	0	1	0
811	1	1	1	0	28	2292	0	1	0
811	2	2	1	0	28	2292	0	1	0
815	1	1	1	0	28	2292	0	1	0
815	2	2	1	0	28	2292	0	1	0
911	1	1	1	0	28	2292	0	1	0
911	2	2	1	0	28	2292	0	1	0
915	1	1	1	0	28	2292	0	1	0
915	2	2	1	0	28	2292	0	1	0
1011	1	1	1	0	28	2292	0	1	0
1011	2	2	1	0	28	2292	0	1	0
1015	1	1	1	0	28	2292	0	1	0
1015	2	2	1	0	28	2292	0	1	0
1111	1	1	1	0	28	2292	0	1	0
1111	2	2	1	0	28	2292	0	1	0
1115	1	1	1	0	28	2292	0	1	0
1115	2	2	1	0	28	2292	0	1	0
1211	1	1	1	0	28	2292	0	1	0
1211	2	2	1	0	28	2292	0	1	0
1215	1	1	1	0	28	2292	0	1	0
1215	2	2	1	0	28	2292	0	1	0
1311	1	1	1	0	28	2292	0	1	0
1311	2	2	1	0	28	2292	0	1	0
1315	1	1	1	0	28	2292	0	1	0
1315	2	2	1	0	28	2292	0	1	0
1411	1	1	1	0	28	2292	0	1	0
1411	2	2	1	0	28	2292	0	1	0
1415	1	1	1	0	28	2292	0	1	0
1415	2	2	1	0	28	2292	0	1	0
1511	1	1	1	0	28	2292	0	1	0
1511	2	2	1	0	28	2292	0	1	0
1515	1	1	1	0	28	2292	0	1	0
1515	2	2	1	0	28	2292	0	1	0
1611	1	1	1	0	28	2292	0	1	0
1611	2	2	1	0	28	2292	0	1	0
1615	1	1	1	0	28	2292	0	1	0
