Time_Now;MBytes_Received;Server_Address
2;0;4.0.0.1;
3;0.011568;4.0.0.1;
4;0.04816;4.0.0.1;
5;0.127248;4.0.0.1;
6;0.428016;4.0.0.1;
7;1.32237;1.0.0.1;
8;3.19819;2.0.0.1;
9;4.41491;2.0.0.1;
10;1.47944;1.0.0.1;
11;2.59512;1.0.0.1;
12;3.27763;2.0.0.1;
13;3.95626;2.0.0.1;
14;6.92933;1.0.0.1;
15;6.73262;1.0.0.1;
16;2.47357;2.0.0.1;
17;6.91568;2.0.0.1;
18;4.14134;2.0.0.1;
19;4.19918;2.0.0.1;
20;1.0479;3.0.0.1;
21;1.97813;3.0.0.1;
22;11.5516;1.0.0.1;
23;8.63931;1.0.0.1;
24;5.74731;2.0.0.1;
25;6.12626;2.0.0.1;
26;7.59539;3.0.0.1;
27;0.613104;3.0.0.1;
28;3.57451;3.0.0.1;
29;7.01021;3.0.0.1;
30;4.72373;2.0.0.1;
31;7.82675;2.0.0.1;
32;7.07483;1.0.0.1;
33;2.03597;1.0.0.1;
34;7.23;1.0.0.1;
35;3.91397;2.0.0.1;
36;11.9565;1.0.0.1;
37;9.58509;1.0.0.1;
38;8.04374;2.0.0.1;
39;0;2.0.0.1;
40;0;2.0.0.1;
41;0;2.0.0.1;
42;0;2.0.0.1;
43;0;2.0.0.1;
44;0;2.0.0.1;
45;0;2.0.0.1;
46;0;2.0.0.1;
47;0;2.0.0.1;
48;0;2.0.0.1;
49;0;2.0.0.1;
50;0;2.0.0.1;
51;0;2.0.0.1;
52;0;2.0.0.1;
53;0;2.0.0.1;
54;0;2.0.0.1;
55;0;2.0.0.1;
56;0;2.0.0.1;
57;0;2.0.0.1;
58;0;2.0.0.1;
59;0;2.0.0.1;
60;0;2.0.0.1;
61;0;2.0.0.1;
62;0;2.0.0.1;
63;0;2.0.0.1;
64;0;2.0.0.1;
