Segment_Index;Playback_Start;Quality_Level;Server_Address
0;3.42477;0;4.0.0.1;
1;6.24494;0;4.0.0.1;
2;8.24494;0;2.0.0.1;
3;10.2449;0;2.0.0.1;
4;12.2449;0;1.0.0.1;
5;14.2449;0;2.0.0.1;
6;16.2449;1;1.0.0.1;
7;18.2449;1;2.0.0.1;
8;20.2449;2;2.0.0.1;
9;22.2449;2;2.0.0.1;
10;24.2449;3;3.0.0.1;
11;26.2449;3;2.0.0.1;
12;28.2449;4;2.0.0.1;
13;30.2449;4;2.0.0.1;
14;32.2449;4;3.0.0.1;
15;34.2449;4;2.0.0.1;
16;36.2449;4;3.0.0.1;
17;38.2449;4;3.0.0.1;
18;40.2449;4;3.0.0.1;
19;42.2449;5;3.0.0.1;
20;44.2449;5;3.0.0.1;
21;46.2449;5;3.0.0.1;
22;48.2449;6;3.0.0.1;
23;50.2449;5;3.0.0.1;
24;52.2449;5;3.0.0.1;
25;54.2449;6;3.0.0.1;
26;56.2449;6;3.0.0.1;
27;58.2449;7;3.0.0.1;
28;60.2449;7;3.0.0.1;
29;62.2449;7;3.0.0.1;
