Segment_Index;Rep_Level;Decision_Point_Of_Time;Case;DelayCase
0;0;2.41471;0;0;
1;0;3.42031;3;0;
2;0;6.23805;3;0;
3;0;6.4817;3;0;
4;0;6.72349;3;0;
5;0;7.07135;3;0;
6;1;7.59133;1;0;
7;1;7.84126;3;0;
8;2;8.17422;1;0;
9;2;8.74705;3;0;
10;3;9.07698;1;0;
11;3;9.4002;3;0;
12;4;9.72017;1;0;
13;4;11.1518;3;0;
14;5;12.1983;1;0;
15;5;15.3611;3;0;
16;4;17.613;1;0;
17;4;18.4229;3;0;
18;5;18.7963;1;0;
19;5;19.3111;3;0;
20;6;20.3763;1;0;
21;6;21.362;3;0;
22;7;22.419;1;0;
23;7;24.1891;3;0;
24;7;25.4533;3;0;
25;7;28.554;3;0;
26;7;29.8183;3;0;
27;6;36.4863;1;0;
28;5;39.2408;1;0;
29;4;45.2858;1;0;
30;4;45.7636;3;0;
