Segment_Index;Download_Request_Sent;Download_Start;Download_End;Segment_Size;Download_OK
0;2.41471;2.81765;3.42031;3128;Y;
1;3.42031;3.82293;6.23805;100000;Y;
2;6.23805;6.24518;6.4817;100000;Y;
3;6.4817;6.56196;6.72349;100000;Y;
4;6.72349;6.84726;7.07135;100000;Y;
5;7.07135;7.17263;7.59133;100000;Y;
6;7.59133;7.64561;7.84126;162500;Y;
7;7.84126;7.95243;8.17422;162500;Y;
8;8.17422;8.28019;8.74705;250000;Y;
9;8.74705;8.79798;9.07698;250000;Y;
10;9.07698;9.08347;9.4002;375000;Y;
11;9.4002;9.4042;9.72017;375000;Y;
12;9.72017;9.7686;11.1518;562500;Y;
13;11.1518;11.2533;12.1983;562500;Y;
14;12.1983;12.2916;15.3611;850000;Y;
15;15.3611;15.647;17.613;850000;Y;
16;17.613;17.7159;18.4229;562500;Y;
17;18.4229;18.4739;18.7963;562500;Y;
18;18.7963;18.8475;19.3111;850000;Y;
19;19.3111;19.4619;20.3763;850000;Y;
20;20.3763;20.3884;21.362;1175000;Y;
21;21.362;21.4641;22.419;1175000;Y;
22;22.419;22.4705;24.1891;1500000;Y;
23;24.1891;24.196;25.4533;1500000;Y;
24;25.4533;25.7392;28.554;1500000;Y;
25;28.554;28.5624;29.8183;1500000;Y;
26;29.8183;30.6237;36.4863;1500000;Y;
27;36.4863;36.7724;39.2408;1175000;Y;
28;39.2408;40.0456;45.2858;850000;Y;
29;45.2858;45.2918;45.7636;562500;Y;
