Time_Now;MBytes_Received;MME
2;0;0;
3;0;0;
4;0;0;
5;0;0;
6;0;0;
7;8;4;
8;0;2;
9;0;1;
10;19.5;10.25;
11;3;6.625;
12;0;3.3125;
13;0;1.65625;
14;13.2984;7.47733;
15;13.8016;10.6395;
16;0;5.31973;
17;0;2.65986;
18;15.2997;8.97977;
19;5.92083;7.4503;
20;8.17949;7.8149;
21;9.4;8.60745;
22;6.8;7.70372;
23;6.8;7.25186;
24;0;3.62593;
25;10.9153;7.27062;
26;9.9756;8.62311;
27;7.30909;7.9661;
28;0;3.98305;
29;8.32408;6.15356;
30;3.67592;4.91474;
31;0;2.45737;
32;13.629;8.04319;
33;11.436;9.73958;
34;5.73502;7.7373;
35;0;3.86865;
36;7.9539;5.91128;
37;9.57352;7.7424;
38;3.87258;5.80749;
39;0;2.90374;
40;0;1.45187;
41;0;0.725936;
42;0;0.362968;
43;0;0.181484;
44;0;0.090742;
45;0;0.045371;
46;4.5;2.27269;
47;0;1.13634;
48;0;0.568171;
49;0;0.284086;
50;0;0.142043;
51;0;0.0710214;
52;0;0.0355107;
53;0;0.0177554;
54;0;0.00887768;
55;0;0.00443884;
56;0;0.00221942;
57;0;0.00110971;
58;0;0.000554855;
59;0;0.000277427;
60;0;0.000138714;
61;0;6.93569e-05;
62;0;3.46784e-05;
63;0;1.73392e-05;
64;0;8.66961e-06;
65;0;4.3348e-06;
